Date : 2025-01-09 11:15:23
Directory : d:\Websites\Krish Sataisya - Portfolio
Total : 631 files,  216211 codes, 11204 comments, 24874 blanks, all 252289 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\reset-filter.less              | Less        |          3 |          4 |          2 |          9 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\resize.less                    | Less        |          4 |          1 |          2 |          7 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\responsive-visibility.less     | Less        |         10 |          3 |          3 |         16 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\size.less                      | Less        |          7 |          1 |          3 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\tab-focus.less                 | Less        |          5 |          3 |          2 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\table-row.less                 | Less        |         21 |          5 |          3 |         29 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\text-emphasis.less             | Less        |          6 |          1 |          2 |          9 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\text-overflow.less             | Less        |          5 |          2 |          2 |          9 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\vendor-prefixes.less           | Less        |        178 |         31 |         19 |        228 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\modals.less                           | Less        |        100 |         31 |         18 |        149 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\navbar.less                           | Less        |        478 |         84 |         99 |        661 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\navs.less                             | Less        |        163 |         43 |         39 |        245 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\normalize.less                        | Less        |        180 |        162 |         86 |        428 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\pager.less                            | Less        |         45 |          3 |          7 |         55 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\pagination.less                       | Less        |         74 |          7 |          8 |         89 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\panels.less                           | Less        |        204 |         27 |         31 |        262 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\popovers.less                         | Less        |        116 |          9 |         11 |        136 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\print.less                            | Less        |         77 |         13 |         18 |        108 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\progress-bars.less                    | Less        |         49 |         22 |         17 |         88 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\responsive-embed.less                 | Less        |         26 |          5 |          5 |         36 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\responsive-utilities.less             | Less        |        152 |         23 |         20 |        195 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\scaffolding.less                      | Less        |         89 |         30 |         32 |        151 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\tables.less                           | Less        |        161 |         39 |         35 |        235 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\theme.less                            | Less        |        170 |         51 |         52 |        273 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\thumbnails.less                       | Less        |         25 |          6 |          6 |         37 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\tooltip.less                          | Less        |         90 |          8 |          6 |        104 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\type.less                             | Less        |        214 |         43 |         46 |        303 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\utilities.less                        | Less        |         31 |         13 |         13 |         57 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\variables.less                        | Less        |        380 |        274 |        203 |        857 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\wells.less                            | Less        |         21 |          5 |          4 |         30 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\border.less                      | Less        |         10 |          2 |          1 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\core.less                        | Less        |         13 |          3 |          2 |         18 |
