"filename", "language", "JavaScript", "JSON", "XML", "Django HTML", "CSS", "PHP", "Pug", "Less", "SCSS", "comment", "blank", "total"
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\rotated.less", "Less", 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 3, 19
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\sizes.less", "Less", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 11
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\spinned.less", "Less", 0, 0, 0, 0, 0, 0, 0, 48, 0, 4, 7, 59
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\variables.less", "Less", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\pagination.less", "Less", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\scrollbar.less", "Less", 0, 0, 0, 0, 0, 0, 0, 817, 0, 113, 343, 1273
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\spectrum.less", "Less", 0, 0, 0, 0, 0, 0, 0, 438, 0, 28, 42, 508
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\config.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\gulpfile.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 123
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\index.html", "Django HTML", 0, 0, 0, 627, 0, 0, 0, 0, 0, 0, 112, 739
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\launderer.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 28
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\pixie-integrate.js", "JavaScript", 302, 0, 0, 0, 0, 0, 0, 0, 0, 20, 79, 401
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\Tm.html", "Django HTML", 0, 0, 0, 8325, 0, 0, 0, 0, 0, 0, 501, 8826
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\css\login-signup\loginsignup-new.css", "CSS", 0, 0, 0, 0, 1939, 0, 0, 0, 0, 0, 276, 2215
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\homepage\desktop\design\vedantulogo_white.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\new-homepage\newTagDropDown.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\cdn\images\seo-templates\bookmark-filled-white.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\manifest.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\serviceworker.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\JSON\indian-cities.json", "JSON", 0, 2047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2047
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\css\haptik\v-haptik.css", "CSS", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 33, 232
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\back.svg", "XML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 1, 39
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\checked.svg", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\images\error-icon.svg", "XML", 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 1, 46
"d:\Websites\Krish Sataisya - Portfolio\Terms And Condition\static\metadata\country-phone-codes.json", "JSON", 0, 810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 810
"d:\Websites\Krish Sataisya - Portfolio\assets\css\animate.min.css", "CSS", 0, 0, 0, 0, 2704, 0, 0, 0, 0, 0, 217, 2921
